id,year,state_name,state_code,cause,gender,number_of_deaths,severity_level,risk_category,decade,age_group
49,2018,Andaman And Nicobar Islands,35,Love Affairs,Male,1.0,Low,Social,2010s,15-24
50,2018,Andaman And Nicobar Islands,35,Love Affairs,Transgender,0.0,Low,Social,2010s,15-24
51,2018,Andaman And Nicobar Islands,35,Marriage Related Issues (Divorce),Female,0.0,Low,Social,2010s,25-44
52,2018,Andaman And Nicobar Islands,35,Marriage Related Issues (Divorce),Male,1.0,Low,Social,2010s,25-44
53,2018,Andaman And Nicobar Islands,35,Marriage Related Issues (Divorce),Transgender,0.0,Low,Social,2010s,25-44
54,2018,Andaman And Nicobar Islands,35,Marriage Related Issues (Dowry Related Issues),Female,0.0,Low,Social,2010s,25-44
55,2018,Andaman And Nicobar Islands,35,Marriage Related Issues (Dowry Related Issues),Male,0.0,Low,Social,2010s,25-44
56,2018,Andaman And Nicobar Islands,35,Marriage Related Issues (Dowry Related Issues),Transgender,0.0,Low,Social,2010s,25-44
57,2018,Andaman And Nicobar Islands,35,Marriage Related Issues (Extra Marital Affairs),Female,0.0,Low,Social,2010s,25-44
58,2018,Andaman And Nicobar Islands,35,Marriage Related Issues (Extra Marital Affairs),Male,0.0,Low,Social,2010s,25-44
59,2018,Andaman And Nicobar Islands,35,Marriage Related Issues (Extra Marital Affairs),Transgender,0.0,Low,Social,2010s,25-44
60,2018,Andaman And Nicobar Islands,35,Marriage Related Issues (Non-Settlement Of Marriage),Female,0.0,Low,Social,2010s,25-44
61,2018,Andaman And Nicobar Islands,35,Marriage Related Issues (Non-Settlement Of Marriage),Male,2.0,Low,Social,2010s,25-44
62,2018,Andaman And Nicobar Islands,35,Marriage Related Issues (Non-Settlement Of Marriage),Transgender,0.0,Low,Social,2010s,25-44
63,2018,Andaman And Nicobar Islands,35,Marriage Related Issues (Others),Female,0.0,Low,Social,2010s,25-44
64,2018,Andaman And Nicobar Islands,35,Marriage Related Issues (Others),Male,1.0,Low,Social,2010s,25-44
65,2018,Andaman And Nicobar Islands,35,Marriage Related Issues (Others),Transgender,0.0,Low,Social,2010s,25-44
66,2018,Andaman And Nicobar Islands,35,Marriage Related Issues (Total),Female,0.0,Low,Social,2010s,25-44
67,2018,Andaman And Nicobar Islands,35,Marriage Related Issues (Total),Male,4.0,Low,Social,2010s,25-44
68,2018,Andaman And Nicobar Islands,35,Marriage Related Issues (Total),Transgender,0.0,Low,Social,2010s,25-44
69,2018,Andaman And Nicobar Islands,35,Other Causes,Female,11.0,Low,Psychological,2010s,25-44
70,2018,Andaman And Nicobar Islands,35,Other Causes,Male,23.0,Low,Psychological,2010s,25-44
71,2018,Andaman And Nicobar Islands,35,Other Causes,Transgender,0.0,Low,Psychological,2010s,25-44
72,2018,Andaman And Nicobar Islands,35,"Physical Abuse (Rape, Etc.)",Female,0.0,Low,Crime,2010s,18-29
73,2018,Andaman And Nicobar Islands,35,"Physical Abuse (Rape, Etc.)",Male,0.0,Low,Crime,2010s,18-29
74,2018,Andaman And Nicobar Islands,35,"Physical Abuse (Rape, Etc.)",Transgender,0.0,Low,Crime,2010s,18-29
75,2018,Andaman And Nicobar Islands,35,Poverty,Female,0.0,Low,Financial,2010s,45-59
76,2018,Andaman And Nicobar Islands,35,Poverty,Male,0.0,Low,Financial,2010s,45-59
77,2018,Andaman And Nicobar Islands,35,Poverty,Transgender,0.0,Low,Financial,2010s,45-59
78,2018,Andaman And Nicobar Islands,35,Professional/Career Problem,Female,1.0,Low,Financial,2010s,25-44
79,2018,Andaman And Nicobar Islands,35,Professional/Career Problem,Male,0.0,Low,Financial,2010s,25-44
80,2018,Andaman And Nicobar Islands,35,Professional/Career Problem,Transgender,0.0,Low,Financial,2010s,25-44
81,2018,Andaman And Nicobar Islands,35,Property Dispute,Female,0.0,Low,Financial,2010s,45-59
82,2018,Andaman And Nicobar Islands,35,Property Dispute,Male,0.0,Low,Financial,2010s,45-59
83,2018,Andaman And Nicobar Islands,35,Property Dispute,Transgender,0.0,Low,Financial,2010s,45-59
84,2018,Andaman And Nicobar Islands,35,Suspected/ Illicit Relation (Other Than Extra Marital Affairs),Female,0.0,Low,Social,2010s,25-44
85,2018,Andaman And Nicobar Islands,35,Suspected/ Illicit Relation (Other Than Extra Marital Affairs),Male,0.0,Low,Social,2010s,25-44
86,2018,Andaman And Nicobar Islands,35,Suspected/ Illicit Relation (Other Than Extra Marital Affairs),Transgender,0.0,Low,Social,2010s,25-44
87,2018,Andaman And Nicobar Islands,35,Unemployment,Female,0.0,Low,Financial,2010s,25-44
88,2018,Andaman And Nicobar Islands,35,Unemployment,Male,0.0,Low,Financial,2010s,25-44
89,2018,Andaman And Nicobar Islands,35,Unemployment,Transgender,0.0,Low,Financial,2010s,25-44
90,2018,Andhra Pradesh,28,Bankruptcy Or Indebtedness,Female,45.0,Low,Financial,2010s,45-59
91,2018,Andhra Pradesh,28,Bankruptcy Or Indebtedness,Male,331.0,Medium,Financial,2010s,45-59
92,2018,Andhra Pradesh,28,Bankruptcy Or Indebtedness,Transgender,0.0,Low,Financial,2010s,45-59
93,2018,Andhra Pradesh,28,Causes Not Known,Female,66.0,Low,Psychological,2010s,25-44
94,2018,Andhra Pradesh,28,Causes Not Known,Male,340.0,Medium,Psychological,2010s,25-44
95,2018,Andhra Pradesh,28,Causes Not Known,Transgender,0.0,Low,Psychological,2010s,25-44
96,2018,Andhra Pradesh,28,Death Of Dear Person,Female,9.0,Low,Social,2010s,45-59
97,2018,Andhra Pradesh,28,Death Of Dear Person,Male,20.0,Low,Social,2010s,45-59
98,2018,Andhra Pradesh,28,Death Of Dear Person,Transgender,0.0,Low,Social,2010s,45-59
99,2018,Andhra Pradesh,28,Drug Abuse/Alcoholic Addiction,Female,7.0,Low,Health,2010s,18-29
100,2018,Andhra Pradesh,28,Drug Abuse/Alcoholic Addiction,Male,189.0,Medium,Health,2010s,18-29
101,2018,Andhra Pradesh,28,Drug Abuse/Alcoholic Addiction,Transgender,0.0,Low,Health,2010s,18-29
102,2018,Andhra Pradesh,28,Failure In Examination,Female,37.0,Low,Educational,2010s,15-24
103,2018,Andhra Pradesh,28,Failure In Examination,Male,48.0,Low,Educational,2010s,15-24
104,2018,Andhra Pradesh,28,Failure In Examination,Transgender,0.0,Low,Educational,2010s,15-24
105,2018,Andhra Pradesh,28,Fall In Social Reputation,Female,1.0,Low,Social,2010s,18-29
106,2018,Andhra Pradesh,28,Fall In Social Reputation,Male,13.0,Low,Social,2010s,18-29
107,2018,Andhra Pradesh,28,Fall In Social Reputation,Transgender,0.0,Low,Social,2010s,18-29
108,2018,Andhra Pradesh,28,Family Problems,Female,457.0,Medium,Social,2010s,25-44
109,2018,Andhra Pradesh,28,Family Problems,Male,1058.0,High,Social,2010s,25-44
110,2018,Andhra Pradesh,28,Family Problems,Transgender,0.0,Low,Social,2010s,25-44
111,2018,Andhra Pradesh,28,Ideological Causes/Hero Worshipping,Female,1.0,Low,Psychological,2010s,18-29
112,2018,Andhra Pradesh,28,Ideological Causes/Hero Worshipping,Male,0.0,Low,Psychological,2010s,18-29
113,2018,Andhra Pradesh,28,Ideological Causes/Hero Worshipping,Transgender,0.0,Low,Psychological,2010s,18-29
114,2018,Andhra Pradesh,28,Illegitimate Pregnancy (Other Than Extra Marital Affairs),Female,0.0,Low,Relationship,2010s,18-29
115,2018,Andhra Pradesh,28,Illegitimate Pregnancy (Other Than Extra Marital Affairs),Male,0.0,Low,Relationship,2010s,18-29
116,2018,Andhra Pradesh,28,Illegitimate Pregnancy (Other Than Extra Marital Affairs),Transgender,0.0,Low,Relationship,2010s,18-29
117,2018,Andhra Pradesh,28,Illness (Aids/Std),Female,7.0,Low,Health,2010s,60+
118,2018,Andhra Pradesh,28,Illness (Aids/Std),Male,9.0,Low,Health,2010s,60+
119,2018,Andhra Pradesh,28,Illness (Aids/Std),Transgender,0.0,Low,Health,2010s,60+
120,2018,Andhra Pradesh,28,Illness (Cancer),Female,4.0,Low,Health,2010s,60+
121,2018,Andhra Pradesh,28,Illness (Cancer),Male,6.0,Low,Health,2010s,60+
122,2018,Andhra Pradesh,28,Illness (Cancer),Transgender,0.0,Low,Health,2010s,60+
123,2018,Andhra Pradesh,28,Illness (Insanity/Mental Illness),Female,165.0,Medium,Mental Health,2010s,60+
124,2018,Andhra Pradesh,28,Illness (Insanity/Mental Illness),Male,247.0,Medium,Mental Health,2010s,60+
125,2018,Andhra Pradesh,28,Illness (Insanity/Mental Illness),Transgender,0.0,Low,Mental Health,2010s,60+
126,2018,Andhra Pradesh,28,Illness (Other Prolonged Illness),Female,455.0,Medium,Health,2010s,60+
127,2018,Andhra Pradesh,28,Illness (Other Prolonged Illness),Male,709.0,High,Health,2010s,60+
128,2018,Andhra Pradesh,28,Illness (Other Prolonged Illness),Transgender,1.0,Low,Health,2010s,60+
129,2018,Andhra Pradesh,28,Illness (Paralysis),Female,3.0,Low,Health,2010s,60+
130,2018,Andhra Pradesh,28,Illness (Paralysis),Male,4.0,Low,Health,2010s,60+
131,2018,Andhra Pradesh,28,Illness (Paralysis),Transgender,0.0,Low,Health,2010s,60+
132,2018,Andhra Pradesh,28,Illness (Total),Female,634.0,High,Health,2010s,60+
133,2018,Andhra Pradesh,28,Illness (Total),Male,975.0,High,Health,2010s,60+
134,2018,Andhra Pradesh,28,Illness (Total),Transgender,1.0,Low,Health,2010s,60+
135,2018,Andhra Pradesh,28,Impotency/Infertility,Female,18.0,Low,Health,2010s,45-59
136,2018,Andhra Pradesh,28,Impotency/Infertility,Male,11.0,Low,Health,2010s,45-59
137,2018,Andhra Pradesh,28,Impotency/Infertility,Transgender,0.0,Low,Health,2010s,45-59
138,2018,Andhra Pradesh,28,Love Affairs,Female,36.0,Low,Social,2010s,15-24
139,2018,Andhra Pradesh,28,Love Affairs,Male,118.0,Medium,Social,2010s,15-24
140,2018,Andhra Pradesh,28,Love Affairs,Transgender,0.0,Low,Social,2010s,15-24
141,2018,Andhra Pradesh,28,Marriage Related Issues (Divorce),Female,3.0,Low,Social,2010s,25-44
142,2018,Andhra Pradesh,28,Marriage Related Issues (Divorce),Male,1.0,Low,Social,2010s,25-44
143,2018,Andhra Pradesh,28,Marriage Related Issues (Divorce),Transgender,0.0,Low,Social,2010s,25-44
144,2018,Andhra Pradesh,28,Marriage Related Issues (Dowry Related Issues),Female,31.0,Low,Social,2010s,25-44
145,2018,Andhra Pradesh,28,Marriage Related Issues (Dowry Related Issues),Male,1.0,Low,Social,2010s,25-44
146,2018,Andhra Pradesh,28,Marriage Related Issues (Dowry Related Issues),Transgender,0.0,Low,Social,2010s,25-44
147,2018,Andhra Pradesh,28,Marriage Related Issues (Extra Marital Affairs),Female,1.0,Low,Social,2010s,25-44
148,2018,Andhra Pradesh,28,Marriage Related Issues (Extra Marital Affairs),Male,10.0,Low,Social,2010s,25-44
149,2018,Andhra Pradesh,28,Marriage Related Issues (Extra Marital Affairs),Transgender,0.0,Low,Social,2010s,25-44
150,2018,Andhra Pradesh,28,Marriage Related Issues (Non-Settlement Of Marriage),Female,4.0,Low,Social,2010s,25-44
151,2018,Andhra Pradesh,28,Marriage Related Issues (Non-Settlement Of Marriage),Male,22.0,Low,Social,2010s,25-44
152,2018,Andhra Pradesh,28,Marriage Related Issues (Non-Settlement Of Marriage),Transgender,0.0,Low,Social,2010s,25-44
153,2018,Andhra Pradesh,28,Marriage Related Issues (Others),Female,44.0,Low,Social,2010s,25-44
154,2018,Andhra Pradesh,28,Marriage Related Issues (Others),Male,51.0,Low,Social,2010s,25-44
155,2018,Andhra Pradesh,28,Marriage Related Issues (Others),Transgender,0.0,Low,Social,2010s,25-44
156,2018,Andhra Pradesh,28,Marriage Related Issues (Total),Female,83.0,Low,Social,2010s,25-44
157,2018,Andhra Pradesh,28,Marriage Related Issues (Total),Male,85.0,Low,Social,2010s,25-44
158,2018,Andhra Pradesh,28,Marriage Related Issues (Total),Transgender,0.0,Low,Social,2010s,25-44
159,2018,Andhra Pradesh,28,Other Causes,Female,110.0,Medium,Psychological,2010s,25-44
160,2018,Andhra Pradesh,28,Other Causes,Male,336.0,Medium,Psychological,2010s,25-44
161,2018,Andhra Pradesh,28,Other Causes,Transgender,1.0,Low,Psychological,2010s,25-44
162,2018,Andhra Pradesh,28,"Physical Abuse (Rape, Etc.)",Female,1.0,Low,Crime,2010s,18-29
163,2018,Andhra Pradesh,28,"Physical Abuse (Rape, Etc.)",Male,0.0,Low,Crime,2010s,18-29
164,2018,Andhra Pradesh,28,"Physical Abuse (Rape, Etc.)",Transgender,0.0,Low,Crime,2010s,18-29
165,2018,Andhra Pradesh,28,Poverty,Female,14.0,Low,Financial,2010s,45-59
166,2018,Andhra Pradesh,28,Poverty,Male,59.0,Low,Financial,2010s,45-59
167,2018,Andhra Pradesh,28,Poverty,Transgender,0.0,Low,Financial,2010s,45-59
168,2018,Andhra Pradesh,28,Professional/Career Problem,Female,4.0,Low,Financial,2010s,25-44
169,2018,Andhra Pradesh,28,Professional/Career Problem,Male,31.0,Low,Financial,2010s,25-44
170,2018,Andhra Pradesh,28,Professional/Career Problem,Transgender,0.0,Low,Financial,2010s,25-44
171,2018,Andhra Pradesh,28,Property Dispute,Female,7.0,Low,Financial,2010s,45-59
172,2018,Andhra Pradesh,28,Property Dispute,Male,64.0,Low,Financial,2010s,45-59
173,2018,Andhra Pradesh,28,Property Dispute,Transgender,0.0,Low,Financial,2010s,45-59
174,2018,Andhra Pradesh,28,Suspected/ Illicit Relation (Other Than Extra Marital Affairs),Female,32.0,Low,Social,2010s,25-44
175,2018,Andhra Pradesh,28,Suspected/ Illicit Relation (Other Than Extra Marital Affairs),Male,33.0,Low,Social,2010s,25-44
176,2018,Andhra Pradesh,28,Suspected/ Illicit Relation (Other Than Extra Marital Affairs),Transgender,0.0,Low,Social,2010s,25-44
177,2018,Andhra Pradesh,28,Unemployment,Female,4.0,Low,Financial,2010s,25-44
178,2018,Andhra Pradesh,28,Unemployment,Male,40.0,Low,Financial,2010s,25-44
179,2018,Andhra Pradesh,28,Unemployment,Transgender,0.0,Low,Financial,2010s,25-44
180,2018,Arunachal Pradesh,12,Bankruptcy Or Indebtedness,Female,0.0,Low,Financial,2010s,45-59
181,2018,Arunachal Pradesh,12,Bankruptcy Or Indebtedness,Male,0.0,Low,Financial,2010s,45-59
